Name,,Time,Date
ROBIN COOK,,15:22,25/08/2022
RICHIE BENSON,,11:15,25/08/2022
CARMEN PAGE,,11:07,25/08/2022
HELENE HICKS,,9:15,25/08/2022
MATTHEW QUINN,,15:25,25/08/2022
GWENDOLYN CERVANTES,,12:06,25/08/2022
SYDNEY HENDRICKS,,13:03,25/08/2022
JAME VILLEGAS,,9:36,25/08/2022
ABRAM GALLEGOS,,11:26,25/08/2022
HENRIETTA RODGERS,,10:05,25/08/2022
CAREY KNIGHT,,10:40,25/08/2022
ORA HARRINGTON,,10:56,25/08/2022
INGRID FREDERICK,,13:17,26/08/2022
CHRISTOPER CASEY,,15:33,26/08/2022
DEREK WEBB,,10:59,26/08/2022
THURMAN WYATT,,10:18,26/08/2022
ADELE STEVENSON,,10:13,26/08/2022
CLAY GOULD,,9:33,26/08/2022
DANTE GATES,,9:45,26/08/2022
JEANIE CRAWFORD,,12:25,26/08/2022
ROBIN COOK,,13:48,26/08/2022
RICHIE BENSON,,16:29,26/08/2022
CARMEN PAGE,,12:37,26/08/2022
HELENE HICKS,,16:15,26/08/2022
MATTHEW QUINN,,15:41,26/08/2022
GWENDOLYN CERVANTES,,16:54,26/08/2022
SYDNEY HENDRICKS,,15:28,26/08/2022
JAME VILLEGAS,,15:53,26/08/2022
ABRAM GALLEGOS,,11:56,26/08/2022
HENRIETTA RODGERS,,13:28,26/08/2022
CAREY KNIGHT,,9:56,26/08/2022
ORA HARRINGTON,,13:10,26/08/2022
INGRID FREDERICK,,15:46,27/08/2022
CHRISTOPER CASEY,,12:03,27/08/2022
DEREK WEBB,,16:00,27/08/2022
THURMAN WYATT,,10:43,27/08/2022
ADELE STEVENSON,,14:47,27/08/2022
CLAY GOULD,,9:28,27/08/2022
DANTE GATES,,12:01,27/08/2022
JEANIE CRAWFORD,,11:41,27/08/2022
ROBIN COOK,,13:10,27/08/2022
RICHIE BENSON,,14:49,27/08/2022
CARMEN PAGE,,15:53,27/08/2022
HELENE HICKS,,9:06,27/08/2022
MATTHEW QUINN,,12:20,27/08/2022
GWENDOLYN CERVANTES,,16:07,27/08/2022
SYDNEY HENDRICKS,,9:25,27/08/2022
JAME VILLEGAS,,14:29,27/08/2022
ABRAM GALLEGOS,,14:27,27/08/2022
HENRIETTA RODGERS,,10:53,27/08/2022
CAREY KNIGHT,,15:32,27/08/2022
ORA HARRINGTON,,9:36,27/08/2022
INGRID FREDERICK,,15:42,28/08/2022
CHRISTOPER CASEY,,11:29,28/08/2022
DEREK WEBB,,15:03,28/08/2022
THURMAN WYATT,,13:07,28/08/2022
ADELE STEVENSON,,9:49,28/08/2022
CLAY GOULD,,13:50,28/08/2022
DANTE GATES,,14:41,28/08/2022
JEANIE CRAWFORD,,9:17,28/08/2022
ROBIN COOK,,12:23,28/08/2022
RICHIE BENSON,,10:09,28/08/2022
CARMEN PAGE,,16:58,28/08/2022
HELENE HICKS,,11:56,28/08/2022
MATTHEW QUINN,,11:01,28/08/2022
GWENDOLYN CERVANTES,,13:30,28/08/2022
SYDNEY HENDRICKS,,11:10,28/08/2022
JAME VILLEGAS,,12:58,28/08/2022
ABRAM GALLEGOS,,16:54,28/08/2022
HENRIETTA RODGERS,,16:11,28/08/2022
CAREY KNIGHT,,15:33,28/08/2022
ORA HARRINGTON,,11:03,28/08/2022
INGRID FREDERICK,,9:36,29/08/2022
CHRISTOPER CASEY,,16:11,29/08/2022
DEREK WEBB,,9:54,29/08/2022
THURMAN WYATT,,14:21,29/08/2022
ADELE STEVENSON,,16:44,29/08/2022
CLAY GOULD,,13:43,29/08/2022
DANTE GATES,,9:17,29/08/2022
JEANIE CRAWFORD,,15:43,29/08/2022
ROBIN COOK,,14:19,29/08/2022
RICHIE BENSON,,11:35,29/08/2022
CARMEN PAGE,,14:12,29/08/2022
HELENE HICKS,,11:19,29/08/2022
MATTHEW QUINN,,9:25,29/08/2022
GWENDOLYN CERVANTES,,10:55,29/08/2022
SYDNEY HENDRICKS,,10:01,29/08/2022
JAME VILLEGAS,,12:08,29/08/2022
ABRAM GALLEGOS,,12:34,29/08/2022
HENRIETTA RODGERS,,15:26,29/08/2022
CAREY KNIGHT,,13:49,29/08/2022
ORA HARRINGTON,,16:16,29/08/2022
INGRID FREDERICK,,9:36,30/08/2022
CHRISTOPER CASEY,,15:25,30/08/2022
DEREK WEBB,,16:26,30/08/2022
THURMAN WYATT,,13:13,30/08/2022
ADELE STEVENSON,,10:10,30/08/2022
CLAY GOULD,,15:56,30/08/2022
DANTE GATES,,11:18,30/08/2022
JEANIE CRAWFORD,,14:22,30/08/2022
ROBIN COOK,,15:10,30/08/2022
RICHIE BENSON,,14:46,30/08/2022
CARMEN PAGE,,14:09,30/08/2022
HELENE HICKS,,10:23,30/08/2022
MATTHEW QUINN,,14:27,30/08/2022
GWENDOLYN CERVANTES,,12:27,30/08/2022
SYDNEY HENDRICKS,,11:23,30/08/2022
JAME VILLEGAS,,14:12,30/08/2022
ABRAM GALLEGOS,,10:11,30/08/2022
HENRIETTA RODGERS,,14:15,30/08/2022
CAREY KNIGHT,,16:35,30/08/2022
ORA HARRINGTON,,14:05,30/08/2022
INGRID FREDERICK,,12:56,31/08/2022
CHRISTOPER CASEY,,15:53,31/08/2022
DEREK WEBB,,11:27,31/08/2022
THURMAN WYATT,,11:53,31/08/2022
ADELE STEVENSON,,9:23,31/08/2022
CLAY GOULD,,11:35,31/08/2022
DANTE GATES,,9:53,31/08/2022
JEANIE CRAWFORD,,15:16,31/08/2022
ROBIN COOK,,10:02,31/08/2022
RICHIE BENSON,,14:35,31/08/2022
CARMEN PAGE,,12:12,31/08/2022
HELENE HICKS,,13:57,31/08/2022
MATTHEW QUINN,,12:26,31/08/2022
GWENDOLYN CERVANTES,,9:05,31/08/2022
SYDNEY HENDRICKS,,10:17,31/08/2022
JAME VILLEGAS,,14:53,31/08/2022
ABRAM GALLEGOS,,16:18,31/08/2022
HENRIETTA RODGERS,,12:01,31/08/2022
CAREY KNIGHT,,13:34,31/08/2022
ORA HARRINGTON,,14:57,31/08/2022
INGRID FREDERICK,,16:35,1/9/2022
CHRISTOPER CASEY,,15:59,1/9/2022
DEREK WEBB,,10:09,1/9/2022
THURMAN WYATT,,11:10,1/9/2022
ADELE STEVENSON,,15:13,1/9/2022
CLAY GOULD,,12:46,1/9/2022
DANTE GATES,,9:22,1/9/2022
JEANIE CRAWFORD,,16:55,1/9/2022
ROBIN COOK,,10:13,1/9/2022
RICHIE BENSON,,9:48,1/9/2022
CARMEN PAGE,,13:12,1/9/2022
HELENE HICKS,,16:38,1/9/2022
MATTHEW QUINN,,15:21,1/9/2022
GWENDOLYN CERVANTES,,13:50,1/9/2022
SYDNEY HENDRICKS,,10:20,1/9/2022
JAME VILLEGAS,,9:21,1/9/2022
ABRAM GALLEGOS,,9:33,1/9/2022
HENRIETTA RODGERS,,9:57,1/9/2022
CAREY KNIGHT,,11:15,1/9/2022
ORA HARRINGTON,,15:02,1/9/2022
INGRID FREDERICK,,9:35,2/9/2022
CHRISTOPER CASEY,,11:38,2/9/2022
DEREK WEBB,,10:18,2/9/2022
THURMAN WYATT,,11:41,2/9/2022
ADELE STEVENSON,,11:49,2/9/2022
CLAY GOULD,,12:03,2/9/2022
DANTE GATES,,15:11,2/9/2022
JEANIE CRAWFORD,,11:30,2/9/2022
ROBIN COOK,,11:37,2/9/2022
RICHIE BENSON,,10:02,2/9/2022
CARMEN PAGE,,10:17,2/9/2022
HELENE HICKS,,9:53,2/9/2022
MATTHEW QUINN,,12:45,2/9/2022
GWENDOLYN CERVANTES,,10:13,2/9/2022
SYDNEY HENDRICKS,,10:35,2/9/2022
JAME VILLEGAS,,14:14,2/9/2022
ABRAM GALLEGOS,,12:57,2/9/2022
HENRIETTA RODGERS,,14:20,2/9/2022
CAREY KNIGHT,,13:41,2/9/2022
ORA HARRINGTON,,9:55,2/9/2022
INGRID FREDERICK,,15:28,3/9/2022
CHRISTOPER CASEY,,14:06,3/9/2022
DEREK WEBB,,13:07,3/9/2022
THURMAN WYATT,,14:13,3/9/2022
ADELE STEVENSON,,15:03,3/9/2022
CLAY GOULD,,11:34,3/9/2022
DANTE GATES,,10:38,3/9/2022
JEANIE CRAWFORD,,11:20,3/9/2022
ROBIN COOK,,14:25,3/9/2022
RICHIE BENSON,,14:18,3/9/2022
CARMEN PAGE,,15:43,3/9/2022
HELENE HICKS,,14:53,3/9/2022
MATTHEW QUINN,,12:28,3/9/2022
GWENDOLYN CERVANTES,,12:02,3/9/2022
SYDNEY HENDRICKS,,11:48,3/9/2022
JAME VILLEGAS,,10:41,3/9/2022
ABRAM GALLEGOS,,11:40,3/9/2022
HENRIETTA RODGERS,,12:11,3/9/2022
CAREY KNIGHT,,13:06,3/9/2022
ORA HARRINGTON,,11:17,3/9/2022
